01-201005-230705_bem_fb0_elicit_0  APO PENE CATENDEKA NO KUPUNDA KU FIBIVE ACITI MWE MWE MWE
01-201005-230705_bem_fb0_elicit_23  LELO WENA NGA AYAMO ALEBWELA FYE PE UKWABULA UKWIPAYA NELYO KAMO 
01-201005-230705_bem_fb0_elicit_24  ICI CAMULENGELE ISAKAMIKO ILIKALAMBA 
01-201005-230705_bem_fb0_elicit_25  E CALENGA BUSHIKU BUMO AEBA UMUKASHI WAKWE ATI NAYA NDETANDALA KUMWESU PANTU APO NAISHILA INSHITA YALEPA
01-201005-230705_bem_fb0_elicit_26  UMUKASHI AMUSUMINISHA ULUCELO AIMA ALAYA NO KUYA
01-201005-230705_bem_fb0_elicit_27  ILYO AFIKILE KUMWABO AFISHA ISHIWI KULI BAWISHI ATI INE TATA UKU KUNT NAYA KV BUKO NASHAMA NGANSHI 
01-201005-230705_bem_fb0_elicit_28  NTILA NGA NAYA MU MPANGA MBWELAMO FYE UKWABULA UKULAIPAYA NELYO KALULU WA MAKA 
01-201005-230705_bem_fb0_elicit_29  EUKU NATI KANJEFISHA UMULANDU KU BAFYASHI BANDI BENA KUSUKA BAMONA UMIO BASENGULWILA
01-201005-230705_bem_fb0_elicit_30  BAWISHI ABATI TACIKOSELE MWANA WANDI
01-201005-230705_bem_fb0_elicit_31  UBUSHIKU BWA KUBWELELA KU BUKO WISHI KWA CILUMENDO ULYA ABULILE IFINTU FIBILI 
01-201005-230705_bem_fb0_elicit_32  IFYAPALA INSENGO SHA MPELEMBE IFYO ALEITA UKUTI MALIBU APEELA MWANE 
01-201005-230705_bem_fb0_elicit_33  AMWEBA NO KUMWEBA ATI MWANA WANDI AMALIBU AYA NAKUPEELA YANTU YAYAFYA SANA TE KWESHA UMUNTU UMBI UKWIKATAKO KANO FYE IWE WE MWINE 
01-201005-230705_bem_fb0_elicit_34  NGA UMBI AIKATAKO UKALENGA IMFWA SHA BANTU ICALO CONSE
01-201005-230705_bem_fb0_elicit_35  NEA WAYA MU MPANGA KU KULUNGA NGA WASANGA INAMA WAECBA AMALIBU INAMA ULEFWAYA UKWIPAYA NGA NI SHINGA NAYO KUTI YATESHA 
01-201005-230705_bem_fb0_elicit_36  PA KUYAPOSA UKULI INAMA ULI NO KUYAPELA AMALUMBO AYA WATI WE MALIBU YA KUILOMBELA WE YAMPELE TATA APO PENE AMALIBU KUTI YAYAIPAYA INAMA ULEFWAYA 
01-201005-230705_bem_fb0_elicit_37  NOMBA CILYA YALABWELELA KULI IWE ULI NO KUYAKONSELA KU NONDO II NGA YAPONENA PANSHI ELYO WATOOLA WASHA WAFISA NA MU MPANGA KU LUPAKO 
01-201005-230705_bem_fb0_elicit_38  TE YAKWESHA KUTWALA KU MUSHI IYO PANTU YALIAFYA NGANSHI
01-201005-230705_bem_fb0_elicit_39  MWANE ATI NATESHA TATA NKALACITA FYONSE IFYO MWANJEBA
01-201005-230705_bem_fb0_elicit_40  UMULUMENDO AIPOSA NA MU NSHILA ALABWELELA NA KU BUKO NA MALIBU NASENDA
01-201005-230705_bem_fb0_elicit_41  CILYA APALAMA KU MUSHI ASHA AYAFISA KU LUPAKO
01-201005-230705_bem_fb0_elicit_42  ULUCELO LWAKONKAPO CILUMENDO AIMA UKUYA KU KULUNGA ASENDA KABUKWE BWAKWE BAYABUULA NA MALIBU APO ASHILE AYAFISA 
01-201005-230705_bem_fb0_elicit_43  BATI BENDE UKUTENTEMUKILA KU NIKA BAMONA FYE INSEFU ISHI SHILELYA PA NIKA
01-201005-230705_bem_fb0_elicit_44  CILUMENDO ANINA NA PEFWASA ASOSA NA MASHIWI YAMWEBELE BAWISHI ATI WE MALIBU YA KUILOMBELA WE YAMPELE TATA NDEFWAYA WIPAYE INAMA SHITATU
01-201005-230705_bem_fb0_elicit_45  AYALEKAKO NO KUYALEKA NO KUMYANGA UMUCELE KASHITA KUTI PA KASHITA KANONO INSEFU SHITATU NASHIFWA NO KUFWA
01-201005-230705_bem_fb0_elicit_46  AMALIBU YAISA NAYALALA NA PANSHI KULI SHIKULU WA YAKO 
01-201005-230705_bem_fb0_elicit_47  CILYA YAFIKA UKO ALI ABUULA INONDO AYAKONSA YAPONENA NA MU ISAMBA LYE FWASA AYATOLA BALABWELELA NA KU MUSHI
01-201005-230705_bem_fb0_elicit_48  KABILI TALAFIKA KI MUSHI ASHA AYAFISA KU LUPAKO 
01-201005-230705_bem_fb0_elicit_49  ILYO AFIKA KU MUSHI AEBA ABANTU BAYASENDA NE NAMA SHONSE 
01-201005-230705_bem_fb0_elicit_50  BASHIFYALA NA BANAFYALA NO MUKASHI BATEMWA NGANSHI BATI ACAKUTI TWASHUKILA UMUPALU 
01-201005-230705_bem_fb0_elicit_51  CILUMENDO ABUULAPO INAMA IMO AYATUULA KU ISANO KU MFUMU YA CALO
01-201005-230705_bem_fb0_elicit_52  INSHIKU SHIPITA FYE CILUMENDO EPAYA FYE INAMA KU MALIBU PE FYE ALESENDA KABUKWE BWAKWE NAKO KALEMONA IFYO ALECITA NA PO ALESHA AFISA AMALIBU KALEMONA
01-201005-230705_bem_fb0_elicit_53  UBUSHIKU BUSHILILE KANTU CILUMENDO ULYA ATI MUKASHI WANDI NI KALE NAILEMONA ABANTU BANDI NAYAKO NJEBAMONA
01-201005-230705_bem_fb0_elicit_54  UMUKASHI AMUSUMINISHA NOMBA ATI TULEYA BONSE PANTU APO WANGUPILA NSHILAYAKO KUMWENU 
01-201005-230705_bem_fb0_elicit_55  AWE BAIMA BONSE NO MUKASHI WAKWE
01-201005-230705_bem_fb0_elicit_56  PATI PAPITE INSHIKU ISHA KUPENDA APO CILUMENDO AILILE KUMWABO ALA MUKWAI KU CESHAMO KALYA KABUKWE BWAKWE KAIBULUMUNA NO KUIBULUMUNA AKATI 
01-201005-230705_bem_fb0_elicit_57  APO BUKWE AILA TULYA FYE INAMA ISHAUMA NDEFWAYA NA INE NAYA IPAYA INAMA KU MALIBU YAKWA BUKWE TUKESELYA INAMA ISHIBISHI NA MABU
