03-200924-200908_bem_798_elicit_0  ECALENGA ABUTUKILE KU NCENDE YA BULWI KUKUKUMANYA GALYATI 
03-200924-200908_bem_798_elicit_17  MULI UYO KABILI ILYO MWATETEKELE MWAKAKATIKWE UMUPASHI WA MUSHILO UWALAILWE ICO ECIKATILO CA BUPYANI BWENU TUSUKE TUBUKWATE KUKUTASHIWA KWA BUKATA BWAKWE
03-200924-200908_bem_798_elicit_18  AWE UULEIKASHISHA IFWE NA IMWE KUMO MULI KRISTU KABILI UWATUSUBILE NI LESA KABILI WENE EWATUKAKATIKE NO KUTUPELO MUPASHI MU MITIMA YESU ECIKATILO 
03-200924-200908_bem_798_elicit_19  PAULO ALELONDOLOLA APABUTA UKUTI 
03-200924-200908_bem_798_elicit_20  NGA CAKUTI UMUNTU ATETEKELA YESU KRISTU UKUPITILA MU KUPILIBUKILA KULI LESA NO KUBA UMWANA WAKWE ALAPOKELELA MUPASHI WA MUSHILO UKUFUMA KULI LESA 
03-200924-200908_bem_798_elicit_21  MUPASHI ECIKATILO CAKUTI UYU MUNTU BUSHIKU BUMO AKAPOKELELA CITEBO CAKWA LESA NA BAMUSHILO BAMBI PAMO NA YESU KRISTU SHIKULWIBO 
03-200924-200908_bem_798_elicit_22  PAULO ALELUMBULA ICI ATI UKUSUBWA NA MUPASHI WA MUSHILO 
03-200924-200908_bem_798_elicit_23  ELYO TWASHININKISHA ICI ECAKUTULENGA UKWINGILA UMWASANSAMA KABILI MU BWITE UBWAIBELA PAMO NGA FINTU CALEMONEKELA MU KUSUBWA NA MAFUTA MU CIPINGO CA KALE 
03-200924-200908_bem_798_elicit_24  CA CINE TWALILENGWA UKUBA IMFUMU KABILI BASHIMAPEPO KULI LESA WESU KABILI TUKABA NO BUFUMU PESONDE 
03-200924-200908_bem_798_elicit_25  NAIFWE TWALISUBWA PAMO NGA DABIDI LELO INSHITA YA KUTEKA KWESU ICILI TAILAFIKA 
03-200924-200908_bem_798_elicit_26  PAMO NGA FINTU DABIDI ATEKELWE NA SHAULI TUCILI TULECULA MU BUTEKO BWAKWA KATEKA WA PANO ISONDE UULECUSHA KABILI ALEESHA UKULOFYA BANTU ABALEKONKA SHIKULU YESU MU CINE 
03-200924-200908_bem_798_elicit_27  LELO MUPASHI WA MUSHILO ALI MULI IFWE KABILI NGA CAKUTI TULI NAO NINSHI NATUKWATA INTULO YA MAKA YONSE NA MANO YANTU TULEKABILA KUKULWA UBULWI UBULI BONSE MU MYEO YESU
03-200924-200908_bem_798_elicit_28  LWENI UBULWI MUKWETE
03-200924-200908_bem_798_elicit_29  BUSHE BWAFYA NSHI MUKWETE PALI INO NSHITA 
03-200924-200908_bem_798_elicit_30  BUSHE KULI ULUKUTA ULULEPATIKISHA IFINTU BAISHIBA PAKATI KENU 
03-200924-200908_bem_798_elicit_31  BUSHE KULI UMUNTU UWASAMBILILA UULEMUCINGA MU MULIMO LESA AMUPEELA 
03-200924-200908_bem_798_elicit_32  NALIMO KULI NGANGA IILEMUBUKA IILEFWAYO KUMUPEELA UMULANDU PAMO NA MATIPU 
03-200924-200908_bem_798_elicit_33  NALIMO NI PA LUPWA BALEMUPATIKISHA UKUCITA ICINTU ICABIPA ICO INTAMBI SHILESUMINISHA 
03-200924-200908_bem_798_elicit_34  BUSHE KULI UMUNTU UULEIPATIKISHA MU CUPO CENU PAKUTI AMULEKANYE
03-200924-200908_bem_798_elicit_35  NALIMO NAMUKWATA IMIFWAILE YA BUBIFI MU MUTIMA WENU IINGABWESHA UKUPIMPA KWA KUBOMBELA SHIKULU PANUMA
03-200924-200908_bem_798_elicit_36  MULI SHINO NSHIKU AMAFYA YALEISHILA MU MISANGO IYA LEKANA LEKANA 
03-200924-200908_bem_798_elicit_37  MU MISANGO YONSE KASEBANYA ESA UWAKAKATA NO KUTINYA
03-200924-200908_bem_798_elicit_38  LELO WILABA UKUTILA IPUSUKILO LYAKWA SHIKULU LITUNTUKILA KU NTUNGA UKO TATULEENEKELA
03-200924-200908_bem_798_elicit_39  KABILI MWILABA UKUTI LESA KUTI ATEMWA UKUBOMFYA BANTU NELYO BALI MISEPELA KUKUPOKOLOLA BANTU BAKWE 
03-200924-200908_bem_798_elicit_40  TUBE ABAIPEKANYA NGA CAKUTI TAULABA UMWANA WAKWA LESA TEKUTI UCIMFYE 
03-200924-200908_bem_798_elicit_41  MUKABA PAMO NGA BAMUNYINA BAKWA DABIDI 
03-200924-200908_bem_798_elicit_42  SUMINISHENI UKUBA MU LUPWA LWA MFUMU  ABASUBWA NO KUKAKATIKWA NA MUPASHI WA MUSHILO  ELYO FYONSE FIKAMUWAMINA 
03-200924-200908_bem_798_elicit_43  MONENI UKUTI MWAUMFWA ILYASHI LYONSE MONENI UKUTI MWAITENYA BWINO
03-200924-200908_bem_798_elicit_44  MONENI UKUTI MULI ABATONTA AMANO YENU PALI LESA PA MAKA YAKWE NA PA FYAKUFIKILISHA FYAKWE 
03-200924-200908_bem_798_elicit_45  SHININKISHENI UKUTI MULELWISHA UMULWANI TE BAMUNYINENWE 
03-200924-200908_bem_798_elicit_46  ELYO NOMBA LWENI
03-200924-200908_bem_798_elicit_47  NOMBA DABIDI TALELWA AMABULWI YONSE KWALEBA INSHITA ISHO CALELINGAFYE UKUFULUMUKA 
03-200924-200908_bem_798_elicit_48  TUKABELENGA PALWA ISHI NSHITA UMUKU UUKAKONKAPO
