01-201013-132016_bem_fb0_elicit_0  UKUSABA IFISABO FYA MPANGA
01-201013-132016_bem_fb0_elicit_18  INSHITA ISHINGI BATWA UBUKAMBE EBO BATWALILAKO ABAUME PA NSAKA ATEMWA BAKAMA ULUMEMBE
01-201013-132016_bem_fb0_elicit_19  ULUMEMBE IWABA ULWALOWA NGANSHI 
01-201013-132016_bem_fb0_elicit_20  LIMBI BALAKUMBAKO NO MUSUNGA 
01-201013-132016_bem_fb0_elicit_21  UMUSUNGA WA MPUNDU ULAKABA SANA TAUTALALA BWANGU 
01-201013-132016_bem_fb0_elicit_22  EICO NA BANTU BAMO BALAIPALANYAKO PA KULONDOLOLA UBUKALI BWABO ABATI INE NDI MUSUNGA WA MPUNDU NYAMBALA PAMULU 
01-201013-132016_bem_fb0_elicit_23  PANTU WENA UMONEKA NGO UTALELE KANSHI WAMBELE FYE PA MULU 
01-201013-132016_bem_fb0_elicit_24  UMUNTU NGA NAIMUFOFOLA WENA ATI KANJITILE ONSE KU MUKOSHI KUTI WAMOCA LOPO ALAPA NO KUUNWA KABILI
01-201013-132016_bem_fb0_elicit_25  KUMFWA NGA IMIBUNDO YAFIKA IMFUNGO NA MASUKU NAFYO FYAPYA ABAICE BALI NO KULAYA MU MPANGA KU KUTOLA 
01-201013-132016_bem_fb0_elicit_26  PA KUTOLA IMFUNGO SHENA FYAPUSANA PANONO NE MPUNDU PANTU KU MFUNGO KWENA BALANINAKO KU TULUMENDO E TULELUKUSHA ABAKASHANA BALETOLA MU ISAMBA
01-201013-132016_bem_fb0_elicit_27  UKUBA KWENA TABONAULA MISAMBO 
01-201013-132016_bem_fb0_elicit_28  AMASUKU NAYO TABALUKUSHA BATOLA FYE MU ISAMBA NGE MPUNDU 
01-201013-132016_bem_fb0_elicit_29  ABAFYASHI BALAMONEKA ABANSANSA PA KUPOKELELA IFYAKULYA ABAICE BAFUMYA MU MPANGA
01-201013-132016_bem_fb0_elicit_30  KU MFUNGO BAKASAKO UMUKOLA BAKUMBAKO NO MUSUNGA UWALOWA ATEMWA UWASASAMINA PANONO IMFUNGO NGA SHILI ISHAKAUKA 
01-201013-132016_bem_fb0_elicit_31  AMASUKU YENA YAKUMONONA FYE FYONSE IFI FILYO FILEKUTIKA 
01-201013-132016_bem_fb0_elicit_32  NA PA KULYA ABAKALAMBA BALASOSO UTUMASHIWI TUMO ABATI AWE E CILYA BEBA ABATI IYAKULA YONKA MU BANA 
01-201013-132016_bem_fb0_elicit_33  NAKABILI ABATI MUNTU TE KABWA 
01-201013-132016_bem_fb0_elicit_34  NAKABILI ABATI KOLWE AKULA ASABILWA NA BANA IFI FYONSE NGA TULEFIMWENA FYE UKUTALI ATUBULAKWATA BANA
01-201013-132016_bem_fb0_elicit_35  ABAICE APO BEKELE NGA ELYO BABWELA UKO BALI BELE BALASHIMIKA NE LYASHI KU BAFYASHI NELYO KULI BANAKULWIBO IFYO BENDELE
01-201013-132016_bem_fb0_elicit_36  NEFYO BACILASANSAWILA ABANABO PA KUBWELA KU MUSHI NEFYO BACILASOSO UTUMASHIWI TWA KUCINCISHA ABANABO 
01-201013-132016_bem_fb0_elicit_37  KATENDE SHIMPO LUBILO UULI NA MUNYINA ASHALE 
01-201013-132016_bem_fb0_elicit_38  AWE MWANDI TE PA BUSUMA
01-201013-132016_bem_fb0_elicit_39  KWENA CILAMONEKA UBULANDA KU BAKALAMBA ABASHAKWATA BANA PA MAYANDA PAMWABO PANTU IFILYO FYA MUSANGO UYU TABAFIMONA 
01-201013-132016_bem_fb0_elicit_40  LELO NELYO CIBE IFVO ABALI NO TWAICE BALAPELAKO ABANABO FYONSE IFYO ABAICE BALETA PAKUTI NABO BALYEKO 
01-201013-132016_bem_fb0_elicit_41  LIMBI KUTI E BALYA NE FINGI PANTU ABENGI BALIBESHIBA UKUTI TABAKWATA BAKUBASABILA UTWA MU MPANGA 
01-201013-132016_bem_fb0_elicit_42  KANSHI KUTI UYU ACITA PA KAPE ABATWALILA NOYU NAO IFYO FINE BACILA NA BACIKWATA ABACILACENWA NE FISONSONKOTO 
01-201013-132016_bem_fb0_elicit_43  NABO BALATASHA SANA ABATI CINE CINE E CILYA BEBA UKUTI UMUBIYO NGA AFYALA WILOWA AKAKULENGELA UKWIKUTA
01-201013-132016_bem_fb0_elicit_44  MU MIKOLI YA MPUNDU ABAICE BALATOBAMO INTAMBWA BALELYA LELO IMIKOOLI YA MFUNGO YENA BAISANGULA FYE IMPETA KU TULUMENDO
01-201013-132016_bem_fb0_elicit_45  IFILYO FYA MISANGO YONSE IFITWALA MU MPANGA IFYO NUMBWILE NEFYO NSHILUMBWILE FISABWA NA BAICE ILYO BALEYANGALA ISESE 
01-201013-132016_bem_fb0_elicit_46  UKUBA KWENA NA BAKALAMBA BENE BALATOOLA NO KUSABA BALELETA NA KU MUSHI LELO TE LINGI LINE BAFIMINA NGA BAICE
