01-200918-113920_bem_d31_elicit_0  KULI YAKOBO 
01-200918-113920_bem_d31_elicit_25  PEPELAKO ABENA KRISTU BANOBE FIMO FINE
01-200918-113920_bem_d31_elicit_26  PASHANYA YESU NA PETRO UKUSOSA ICISHINKA KUTI CABA ICAKOSA 
01-200918-113920_bem_d31_elicit_27  CILANGILILO NSHI WINGATEMWA UKUKONKA
01-200918-113920_bem_d31_elicit_28  FINSHI WASAMBILILAPO PA BUMFUMU BWAKWA YESU
01-200918-113920_bem_d31_elicit_29  MULANDUNSHI YESU APINGWILILWE UKUFWA
01-200918-113920_bem_d31_elicit_30  CINSHI ICAPWA
01-200918-113920_bem_d31_elicit_31  FINSHI WINGACITA MUKULANGISHA APABUTA TUTU UKUTI BAKWA YESU NGA YOSEF NA NIKODEMUS BACITILE MU VESI THIRTY EIGHT UKUFIKA THIRTY NINE
01-200918-113920_bem_d31_elicit_32  KUTI TWAISHIBA SHANI UKUTI MARIA ALITEMWISHA IMFUMU YAKWE YESU
01-200918-113920_bem_d31_elicit_33  MULANDUNSHI YOHANE ALEMBELE IYI MBILA NSUMA
01-200918-113920_bem_d31_elicit_34  IFYO MAGAZINI IBOMBA
01-200918-113920_bem_d31_elicit_35  AMA MAGAZINI YA BENA KRISTU ILINGILINE YATENDEKWA NO MUNTU UUKWETE ICIMONWA UKUFUMA KULI LESA ICA KUKOSELESHA ELYO NO KUKULA ABENA KRISTU BANANKWE UKUPITILA MULI IYI NSHILA 
01-200918-113920_bem_d31_elicit_36  NANGU IBUMBA LYA FILONGANINO LYASALA UKUTI BALEKABILA UYU MULIMO NO KUFWAYA INTUNGULUSHI ISHACETEKELWA KABILI ISHINGABOMBA UKUTI SHIUTENDEKE 
01-200918-113920_bem_d31_elicit_37  LYONSEFYE KULABA UMO NANGU ABANTU BAMO ABETWA BA EDITORS ABAKULOLEKESHAPO UKUTI MAGAZINI ALEMBWA BWINO BWINO KABILI NOKUPRINTWA BWINO 
01-200918-113920_bem_d31_elicit_38  NGA CINGACITWA BALABA ABAKUTUNGILILWA NE BUMBA ILINONO ILYA NTUNGULUSHI ILIBAPANDAKO AMANO NOKUBAFWILISHA MU NSHILA ISHALEKANA LEKANA 
01-200918-113920_bem_d31_elicit_39  BA EDITORS BALAFWAYA BAKALEMBA MAKAMAKA PAKATI KA FILONGANINO BAPYUNGILA 
01-200918-113920_bem_d31_elicit_40  BALABOMBELA PAMALYASHI AYO BAPOKELELA ELYO NOKUYAWAMINISHA
01-200918-113920_bem_d31_elicit_41  PAMULANDU WAKUTI EBO UYU MULIMO WA MAGAZINI USHINGEME NI BENA BAKALAPINGULA MUKULEKELESHA PALWA FINTU IFILINGILE UKUBA MULI MAGAZINI
01-200918-113920_bem_d31_elicit_42  KABILI BALAFWAYA NA BAMBI ABENA KRISTU ABENGABATUMINAKO IFIKOPE ELYO NEFILENGO MUKULENGA UKUTI MAGAZINI AMONEKE BWINO 
01-200918-113920_bem_d31_elicit_43  ILYO MAGAZINI TALAFUMA UMO AFWILE UKUBIKA AMALYASHI AMAKALATA ELYO NE FIKOPE PAMO  ICICITWA LAYOUT MUCINGELESHI 
01-200918-113920_bem_d31_elicit_44  PANUMA YAKUPRINTWA MAGAZINI ILATUMWA KU BENA KRISTU ABO ABALIPILILA KABELA 
01-200918-113920_bem_d31_elicit_45  NANGULA ILINGI MULABA UMUNTU UMO MULI CILA CILONGANINO UUSHITISHA MAGAZINI KULI ILYA NCENDE
01-200918-113920_bem_d31_elicit_46  BAKABELENGA KUTI BASENDAMO ULUBALI MULI MAGAZINI UKUPITILA MUKULEMBA AMAKALATA NANGU ILYASHI
01-200918-113920_bem_d31_elicit_47  ICI CIKALAAFWILISHA BA EDITORS UKULENGA IFILIMO UKUMONEKESHA IFIKANKALA ELYO MU MUSANGO UMUNTU ONSE ENGASEKELAMO
01-200918-113920_bem_d31_elicit_48  YI MAGAZINE YA KULANTUNGILILA ICITEMWIKO KUBATETEKELA NOBWISHIBILO BWA MALEMBO YAKWA LESA 
01-200918-113920_bem_d31_elicit_49  NENSHILA SHAKUBOMBELAMO UMULIMO YAKWA LESA 
