12-201009-111159_bem_526_elicit_0  ABAPATILI BABWEKELAMO AMACUSHI YALANANGULUSHA
12-201009-111159_bem_526_elicit_25  KUTI CILYA NAPWA UKUSAMBA KU MENSO NAMONA UTWAICE TUBILI NATUTUNGILIKANA NGE NSHINGE SHAPONYA AMASAKO KAMO KASENDELE UBWALI KAMBI NAKO UMUNANI 
12-201009-111159_bem_526_elicit_26  UWIKALA KU MWINSHI TATUMPA AWE MUKWAI UMULUMENDO APOKELELA NO BWALI 
12-201009-111159_bem_526_elicit_27  AKAICE KAKUPUKULAPO KUTI NCEBELAMO NI NKOKO 
12-201009-111159_bem_526_elicit_28  AWE MUKWAI TWALASEKASEKA FYE 
12-201009-111159_bem_526_elicit_29  AKALIPO AKAKALAMBA KAISAIMA KALALANDA AKATI UBWALI UBU BWAFUMA KU ISANO 
12-201009-111159_bem_526_elicit_30  IMFUMU YATILA ILEISA MUMONA AKASUBA NGA KABALIKA 
12-201009-111159_bem_526_elicit_31  INE ICONSHALEUMFWA NAIPUSHA UMUNANDI NATI BUSHE IFYO KALEBELENGANYA E MUKUTILA SHANI 
12-201009-111159_bem_526_elicit_32  UMUNANDI ALANONDOLWELA 
12-201009-111159_bem_526_elicit_33  INE MU MUTIMA NATI TE KUNO BEBA ABATI KU ZAMBEZI TAKWAWAMA BUSHE BUFI BABEPA  
12-201009-111159_bem_526_elicit_34  NGA BUFI TUKAMONA KABILI BATILA 'UKUSUSHE LUNGU KWENDAMO
12-201009-111159_bem_526_elicit_35  NELYO ILYA NKOKO ISHAIPIKWE BWINO LELO NA INE WINE NALILILEKO PANTU NATININE UKUTI NGA NSHILILEKO IMFUMU NGA YAISHIBA KUTI YAMPATILAPO 
12-201009-111159_bem_526_elicit_36  PANTU BATINI BENA PA KWIPIKA BABIKILEMO FYE FYONSE IMITWE IFIKONDILO NA MALA 
12-201009-111159_bem_526_elicit_37  KABILI NATONTONKENYE UKUTI TACAWAMA UKUKAANA ICAKULYA PA MUKU WAFIKA KU CALO CA BENE EPALI KABILI NGA WAKOKOLA BAMONA WE WAKENE WALALYA  
12-201009-111159_bem_526_elicit_38  ICI KUTI CABIPA NGANSHI
12-201009-111159_bem_526_elicit_39  MWALISHIBA NGA NI KUMWESU KUTI FYE NGO MUNTU UBWENI BWAYABULEPWA ELYO ATI KANKANEKO NATI IFI NSHILYA 
12-201009-111159_bem_526_elicit_40  MAILO CILYA BAYA KU KUTUMYA WAUMFWA E LYASHI BABIKAPO ABATI 
12-201009-111159_bem_526_elicit_41  BA NAMAYAKUBA NABO KUTI FYE CILYA BAIKUTA WAUMFWA ABATI INE NSHILYA MPAMBATA 
12-201009-111159_bem_526_elicit_42  WAUMFWA BAMBI BAYASUKA ABATI ALA NA IMWE BA SHIKULU COMBA TE KWIKUTA AIKWITE FYE NGEFYO BULYA BUSHIKU ALECIBAIKA FYE NGE LYAPENA 
12-201009-111159_bem_526_elicit_43  CILYA TWAPWA FYE UKULYA UBWALI NAYALISHA NE NYENJELE TWABULA NE FITABO FYESU TWAYABIKA NA MU ISAMBA LYA MUTI UMO MWINE E MU ISUKULU LYESU 
