01-200918-110012_bem_d31_elicit_0  NA CIMBI CINTU ICIFWAIKWA PA KUTEYANYE MILIMO YA MISEPELA KUPATANKANYAMO IFYAKUCITA IFINGI 
01-200918-110012_bem_d31_elicit_36  UKULINGANA NEFIKOMO FYA IYI MAGAZINE BALINGILE
01-200918-110012_bem_d31_elicit_37  UKUBA BAMEMBALA BAPIMPA MU CILONGANINO CA CHRISTIAN BRETHREN CHURCH NANGU ICILONGANINO CIMBI ICA EVANGELICAL CHURCH ICA ISHIBIKWA
01-200918-110012_bem_d31_elicit_38  ABENGATEMWA UKU LOLESHA PA MILIMO YABO MULI IYI MAGAZINE NGE YAKUPEELAFYE KUBUFUMU BWAKWA LESA
01-200918-110012_bem_d31_elicit_39  UKULUNDAPOFYE PACISHINKA CAKUTI IFILENGO FYABO FIKALAENDELAPAMO NA MASHINA YABO IFILAMBU FIMBI FIKALIPILWA MU MULU
01-200918-110012_bem_d31_elicit_40  UKUSUMINISHA UKUTI CILI MU MAKA YABALELOLEKESHA PALI IYI MAGAZINE UKUSALA NGA CAKUTI BENGA BIKAMO ICILENGO CENU NE NSHITA BATEMWA ABENE UKUBIKAMO ICILENGO ICILI CONSE
01-200918-110012_bem_d31_elicit_41  NGA MULEKABILA UKUSENDAMO ULUBALI MULI UKU KUCIMFYANYA TUMENI IFILEFWAIKWA APA PESAMBA KULI BA EDITOR UKUSHINTA PA THIRTY FIRST MARCH TWO THOUSAND AND NINE
01-200918-110012_bem_d31_elicit_42  IFILENGO
01-200918-110012_bem_d31_elicit_43  PA FINTU IFICITIKA MU MUSHI NANGU MWIBALA
01-200918-110012_bem_d31_elicit_44  ICIKOPE CILELANGISHA PE LYASHI ILI LYONSE ILYO MWASALAPO UKUFUMA MULI MARKO CHAPITA ONE UKUSHINTA KU CHAPITA TEN
01-200918-110012_bem_d31_elicit_45  ICIKOPE CAMUTWE WA MUNENU UYO MWAISHIBANA NANKWE BWINO BWINO
01-200918-110012_bem_d31_elicit_46  KALATA WAKUMISUMINISHA UKUFUMA KUNTUNGULUSHI SHA LUKUTA LUNTU MULONGANAKO
01-200918-110012_bem_d31_elicit_47  IFYOTWINGA MISHIBILAKO
01-200918-110012_bem_d31_elicit_48  AMASHINA IMYAKA AKEYALA NE NAMBALA YA MUSANGE WENU IFYO MUCITA MUBWIKASHI BWENU IFYO MWATEMWISHA MU MILIMO YENU IYAKULENGA
01-200918-110012_bem_d31_elicit_49  ABANTU BATATU ABAKACITA BWINO PALI UKU KUCIMFYANYA BAKAPOKELELELA IFITABO IFISUMA NGE FILAMBU
