03-200924-214522_bem_798_elicit_0  KUTI TWASHINSHIMUNA LESA PA LWESUFYE FWEKA
03-200924-214522_bem_798_elicit_30  ILINGI ABANTU BAIBIMBA MU FINTU PANTU KULI IFYO BALEKONKELELA 
03-200924-214522_bem_798_elicit_31  IFYO TULANDILE MU MASHIWI YAKULEKELESHA PALWA BUKANKALA BWE SENGE KUTI FYATUKOSELESHA UKUFWAYA UKUKWATA ISENGE 
03-200924-214522_bem_798_elicit_32  ICIPINGO CITUPEELA NA FIMBIPO IFISHINKA IFINGATULENGA UKUBA MWISENGE NABENA KRISTU BAMBI
03-200924-214522_bem_798_elicit_33  ICISHINKA CAKUTI MWALIBA ABENA KRISTU CIPILIBULA UKUTI MUFWILE UKUBA MWISENGE NA BATETEKELA BAMBI 
03-200924-214522_bem_798_elicit_34  UKUBA UMWINA KRISTU BWITE MWISENGE NO MWANA WA KWA LESA SHIKULU WESU YESU KRISTU 
03-200924-214522_bem_798_elicit_35  UMWINA KRISTU KABILI ALITWA UKUBA MWISENGE NABENA KRISTU BAMBI
03-200924-214522_bem_798_elicit_36  UMUSANGO ULUKUTA LWALONDOLOLWA MU CIPINGO CIPYA CILANGA UKUTI UMWINA KRISTU TETI ABEFYE PALWAKWE 
03-200924-214522_bem_798_elicit_37  INSHILA SHINGI ISHAKULULONDOLWELAMO PAMO NGEFI ULUPWA IFILUNDWA FYA MUBILI UMO NABWINGA MU CUPO ABANTU NE TEMPELE UMWANAKASHI NA BANA BAKWE
03-200924-214522_bem_798_elicit_38  ABANTU ABENGI BALIKWATA ICILUBO UKUTI ULUKUTA CIKUULWA MUNTU BAKWATILA AMAPEPO 
03-200924-214522_bem_798_elicit_39  LELO ULUKUTA BANTU ABALONGANA CAPAMO MU CIKUULWA ATEMWA MUNTU BASAMBILISHISHA NANGU MU NG'ANDA NANGU MWISAMBA LYA CIMUTI KUKUSHINSHIMUNA SHIKULU 
03-200924-214522_bem_798_elicit_40  NAMULI UKU UKUMFWA NACUMFWIKAFYE TETI WIKELE WEKA PALOBE NGO ULI PA CISHI 
03-200924-214522_bem_798_elicit_41  TACILI ICAYANGUKA UKUBOMFYA IFISABO FYA MUPASHI WAMUSHILO MUKUBA WEKA
03-200924-214522_bem_798_elicit_42  MU CILANGILILO KUTI WALANGA SHANI UKUTEMWA NANGU UKUSEKELELA NANGU UKUTEKA UMUTIMA NANGU ULUSE ILYO ULI WEKA MU MUPUTULE OBE 
03-200924-214522_bem_798_elicit_43  KALEMBA UMWINA KRISTU ACIBIKILE MU NSHILA IYAKOSA PAKUSOSA UKUTI LESA ALITUPEELA IFYABUPE PAKUTI FIBOMBELE KU KUWAMYA IMEMBU SHA BENA KRISTU BAMBI ABALI MU LUKUTA 
03-200924-214522_bem_798_elicit_44  ICI CILEPILIBULA UKUTI ULUBEMBU LWANDI LWAKUPA INSHILA YA KUBOMFYA ICABUPE COBE
03-200924-214522_bem_798_elicit_45  UKUFUMA MUFYO TWALANSHANYA MULI ICI CIPUTULWA CACIFYALILWA KU MWINA KRISTU UKUIBIMBA MWISENGE 
03-200924-214522_bem_798_elicit_46  UMWINA KRISTU ESHIBA ULUBALI LWAKWE NO KUISOKOLOLA KWI BUMBA LYA BATETEKELA MULI INE INCENDE 
03-200924-214522_bem_798_elicit_47  TAKULI UMWINA KRISTU UWINGAPOKELELA NANGU UKUPEELA KULI SHIKULU NA KU BENA KRISTU BANANKWE FYONSE IFYO ENGA CITA 
03-200924-214522_bem_798_elicit_48  KANOFYE ASANGWA CAPAMO NA BATETEKELA MULYA MWINE MU CIFULO
03-200924-214522_bem_798_elicit_49  EICO UMUNTU UUSHIKWETE ICINGAMULENGA UKUSANGWA MWISENGE NA BENA KRISTU BAMBI TEKUTI ABE UMWINA KRISTU UWAFIKAPO
03-200924-214522_bem_798_elicit_50  BUSHE NINANI ABATETEKELA BALI NOKUBA NE SENGO NAO
03-200924-214522_bem_798_elicit_51  MULI TWO KOR SIX VERSE FOURTEEN TO EIGHTEEN UMUTUMWA PAULO ALEMBELE UKUSOKA ABATETEKELA UKUSALA ABO BALI NO KULAUMFWANA NABO 
03-200924-214522_bem_798_elicit_52  ABALANGA UKUTI BAFWILE UKUBA NE SENGE NA BANTU ABAITA PA MFUMU YESU KRISTU 
