01-201001-201528_bem_fb0_elicit_0  ICIPANDE CALENGA MUTANDA
01-201001-201528_bem_fb0_elicit_37  NOMBA KU MULANDU WA MANO YA BUKAPENTA 
01-201001-201528_bem_fb0_elicit_38  JANET AILEPOSA AMANO KU KALUMENDO KAMO IFI AKA NDEBELE 
01-201001-201528_bem_fb0_elicit_39  MUKWAI KUTI NGA BASEKESHA NAKO KWATI BABELESHANYA KALE 
01-201001-201528_bem_fb0_elicit_40  KULI JONI KWENA ALELANDAKO FYE LIMOLIMO UKWABULA NO KUPOSAKO AMANO KWATI TE MULUME WAKWE 
01-201001-201528_bem_fb0_elicit_41  JONI CAMUPESHA AMANO PA KUMONA IFYO UMUKASHI WAKWE APOOSA AMANO KU KALUMENDO KAMBI 
01-201001-201528_bem_fb0_elicit_42  KASHI PA KWISHIBA BWINO ICALI MU MANO YAKWA JANET JONI ATALA AFUMAPO ABEPEKESHA MU KUFWAYA FWAKA 
01-201001-201528_bem_fb0_elicit_43  NOMBA PAKUTI AMONE BWINO IFYO ULYA CILUMENDO ALECITA NA JANET AILEIMININA PA MULOLA APAKUTI ALEBAMONA FYE BEKA BENA TABALEMUMONA
01-201001-201528_bem_fb0_elicit_44  JANET ATALA ACEBACEBA PA KUMONA JONI NGA ALI MUPEPIL AMONA TALI MUPEPI 
01-201001-201528_bem_fb0_elicit_45  AWE ASENGELELA KULI CILUMENDO ABIKA NO KUBOKO PETANTA LYAKWA CILUMENDO 
01-201001-201528_bem_fb0_elicit_46  CILUMENDO ABWELA AKUMBATILA NA JANET ABIKA NO KUBOKO KUMBI MU MUSANA WAKWA JANET
01-201001-201528_bem_fb0_elicit_47  JONI APO EMININE UMUTIMA WALAFWAYA UKUFIMINA PA MUTWE 
01-201001-201528_bem_fb0_elicit_48  NECO AMONA JANET PAKWIKALA TE WAKUBWESHA NE NDELESHI BWINOBWINO KUTI ATANGALELE FYE NA MENSO ALAFWEBULWILA CILUMENDO 
01-201001-201528_bem_fb0_elicit_49  JONI AFILWA UKUSHIPIKISHA AYAPO 
