01-180101-213930_bem_d31_elicit_0  IMICITILE YA IFI TAYAYANA UKULINGANA NE NTAMBI NANGU BWINA KRISTU
01-180101-213930_bem_d31_elicit_17  UMUKASHI NAO AFWILE UKUKOSELESHA BALUPWA WAKWE UKULAEBA ABALUME BAKWE IFYAKUKABILA FYABO 
01-180101-213930_bem_d31_elicit_18  ICI CIKAFWILISHA KUKU LETA ISENGE NOKWIKATANYA INDUPWA SHONSE SHIBILI 
01-180101-213930_bem_d31_elicit_19  TULEKOSELESHA ICI PANTU ILINGI MULUTAMBI LWESU BALUPWA BAKUMWAUME NABA KUMWANAKASHI BALANDA IFYO BALEKABILA KUMWANA WABO UMWAUME NANGU KU MWANA WABO UMUNAKASHI EPELA 
01-180101-213930_bem_d31_elicit_20  ABALUME NABAKASHI BAFWILE BAIKALA PANSHI NOKULOLEKESHAPO PALI CILA MULANDU ELYO BASUMINISHANYA ELYO BONSE BABILI BAPEELA UBWASUKO KUBANTU CIKUMINE
01-180101-213930_bem_d31_elicit_21  KANA UKUKUTITIKISHA NANGU UKUPOKA IFYA KUKU NASHA NASHA PAKUTI USUMINE UKULASUNGA ABALUPWA
01-180101-213930_bem_d31_elicit_22  NGA CAKUTILA NIWE WABA NOMULIMO WAKUSUNGA ABALUPWA LYENA MUFWILE UKUSUMINISHANYA NA BENA MWENU
01-180101-213930_bem_d31_elicit_23  ABO MWAFWILISHA ELYO NABALUPWA BAFWILE UKUSUMINA NOKWIKALILILA MU MAFUNDE ELYO NE FIKOMO FYONSE IFYO MWATANTIKA PAMWENU 
01-180101-213930_bem_d31_elicit_24  BALONDOLWELENI MUKUTEMWA UKUTILA AYAMAFUNDE YABELAKO KUKULETA UMUTENDE ELYO NA KUKWAMPANA BWINO PA NG'ANDA
01-180101-213930_bem_d31_elicit_25  LYO MUCIBIKE UBUYO UKWIKALA MU MUTENDE NABAPONGOSHI ELYO NABA LUPWA  MONENI MU BENA ROMA TWELVE EIGHTEEN 
01-180101-213930_bem_d31_elicit_26  MWALI IFINTU IFISUMA IFI FUMAMO IFYO TULINGILE UKUBIKAKO AMAKA YONSE UKULETA NOKU SUNGILILA UKWAPANA MU MUTENDE NA BALUPWA ELYO NA BAPONGOSHI
01-180101-213930_bem_d31_elicit_27  IMIBEELE YENU ELYO NEFICITWA FYENU KUBALUPWA ENSHILA IYO BAKOMFWILAMO IMBILA NSUMA UKUFUMA KULI IMWE 
01-180101-213930_bem_d31_elicit_28  EICO TUFWILE UKUFWAYA AMANO YAKWA LESA NOBWAFWILISHO MULI IYI NCENDE MAKA MAKA UMO BALUPWA WESU TABABA ABENA KRISTU BENE BENE
01-180101-213930_bem_d31_elicit_29  UKUFUMA SEVENTEEN VERSE SIX NA IMPENDWA TWENTY VERSE EIGHT  NI CINSHI ICO LESA AEBELE MOSE NA AARON UKUCITA
01-180101-213930_bem_d31_elicit_30  BUSHE KUUMA NANGULA KWEBA ICILIBWE 
01-180101-213930_bem_d31_elicit_31  MULANDU NSHI UO MOSE APANGILE PALI IYI NCENDE
01-180101-213930_bem_d31_elicit_32  LESA AEBELE MOSE UKUCITA FYONSE FIBILI 
01-180101-213930_bem_d31_elicit_33  INTANSHI MU KUFUMA SEVENTEEN PANUMAFYE AKULEKELWAKO UKUFUMA MU EGUPT ALI NO KUMA ICILIBWE PAKUTILA ENGAPEELA AMENSHI KUBANTU ABALEUMANA 
01-180101-213930_bem_d31_elicit_34  MUMPWENDWA 20 TULESANGAMO UBUTANTIKO BWA FINTU IFYAISHILE CITIKA PANUMA YAMYAKA FORTY
01-180101-213930_bem_d31_elicit_35  PALI ILYA INSHITA LESA AEBELE UMUBOMFI WAKWE UKULANDA KU CILIBWE
01-180101-213930_bem_d31_elicit_36  MULANDU NSHI MOSE APANGILE
01-180101-213930_bem_d31_elicit_37  MONENI MU MPENDWA TWENTY VERSE TWELVE UMUSANGO LESA ALONDOLWELAMO KULI ENA
01-180101-213930_bem_d31_elicit_38  TAWANCETEKELE LESA ALEFWAYA UMUBOMFI WAKWE UKUMUCETEKELA UKUTILA ALI NO KUMWAMFWILISHA UKULINGANA NEFYO AMULAILE INTANSHI 
01-180101-213930_bem_d31_elicit_39  MUKUTETEKELA MWABA UKUMFWILA 
01-180101-213930_bem_d31_elicit_40  MOSE NDESUBILA MUBUKALI PAMULANDU WA BANTU ABASHAISWILEOMO NAMATOTELO ACITILE NGO WAISHIBE UKUCILA LESA ICALEFWAIKWA UKUCITA 
01-180101-213930_bem_d31_elicit_41  MUCINSO CAKWA LESA ICO EKUKANA TETEKELA
01-180101-213930_bem_d31_elicit_42  TAWANCINDIKE NANGU UKUSHINSHA MU MENSO YABANA BA ISRAELI
01-180101-213930_bem_d31_elicit_43  CACINE MOSE MU V10 AILUMBWILE UKUTILA ENAFYE NAMUNINA EBALEAFWILISHA ABANTU  AFUMISHEPO LESA UMUPWILAPO 
01-180101-213930_bem_d31_elicit_44  KABILI PAKUUMA ICILIBWE IMIKU IBILI ALANGISHE PALWALALA UKUTILA EWALEBOMBA KABILI UKUTILA CALI MUMAKA YAKWE UKUCITA CILYA CISUNGUSHO 
01-180101-213930_bem_d31_elicit_45  LELO LESA TAFWAYA UKUPEELA UBUKATA BWAKWE KU MUNTU UULI ONSE
01-180101-213930_bem_d31_elicit_46  MULI AMASAMBILILO AYENGI KULI BAIFWE MULI ICI CIPANDE 
01-180101-213930_bem_d31_elicit_47  MUCISHINKAFYE TATULINGILE UKUCISENDA MUKWANGUSHA NGACAKUTILA IFWE NANGULA INTUNGULUSHI SHESU SHILEESHA UKUPWISHA UBWAFYA UKUBOMFYA INSHILA SHABUNTUNSE 
01-180101-213930_bem_d31_elicit_48  LESA ALEKABILA UKUMUMFWILA KABILI ALEKABILA UKUMUCINDIKISHA 
01-180101-213930_bem_d31_elicit_49  INTUNGULUSHI ISHISHICITA IFYO BAKACUULA KUFITUMBUKAMO
