05-200916-145336_bem_a40_elicit_0  MULENJITA KU NG'ANDA YENU 
05-200916-145336_bem_a40_elicit_38  NALITEMWA UKWIPIKA UKULEMBA AMAKALATA ELYO NO KULOBA ISABI
05-200916-145336_bem_a40_elicit_39  FINSHI MWATEMWA UKWIPIKA
05-200916-145336_bem_a40_elicit_40  NATEMWA UKUNAYA UBWALI ELYO NO KWIPIKA IFISASHI
05-200916-145336_bem_a40_elicit_41  CIISUMA NDEFWAYA MUKESE
05-200916-145336_bem_a40_elicit_42  NSAMBILISHAKO UKWIPIKA IFISASHI MAILO
05-200916-145336_bem_a40_elicit_43  CILIFYE NKESA
05-200916-145336_bem_a40_elicit_44  ABANTU MU MUSHI TABAKWATA IFYAKUCITA MU NSHITA YABO PANTU ILINGI LINE BABOMBA FYE INCITO SHA PA NGANDA
05-200916-145336_bem_a40_elicit_45  ABANAKASHI BALIIKWATILA IFISELA FYABO BEKA NABAUME CIMO CINE
05-200916-145336_bem_a40_elicit_46  UBUSHIKU BWAPA MULUNGU ABANTU NGA BAPWISHA AMAPEPO BUBA BUSHIKU BWA FYANGALO NO KULANDA PA FINTU IFYAPUSANA PUSANA
05-200916-145336_bem_a40_elicit_47  NALESAMBILISHA ICIBEMBA 
05-200916-145336_bem_a40_elicit_48  NSHALESAMBILISHA ICISUUNGU
05-200916-145336_bem_a40_elicit_49  MWALETEMWA UKULYA PIZZA 
