03-200924-181036_bem_798_elicit_0  ICI CALOLELE MUKUTI ILI PAKA TALYALI MUKATI KA CIPANGANO CAKWA LESA NA BANTU BAKWE
03-200924-181036_bem_798_elicit_15  NGA MULI BENA KRISTU ABABOMBESHA NDESUBILA CALIMUCITIKILAPO NAIMWE
03-200924-181036_bem_798_elicit_16  PALI FYE IFINTU FIBILI 
03-200924-181036_bem_798_elicit_17  NALIMO KUTI WAUMFWILA BAMUNONKO NANGU KUTI WATWALILILA UKULOLENKANA NE CINTU ULEFWAYA UKUCITA 
03-200924-181036_bem_798_elicit_18  NA DABIDI ASALILEPO KULOLENKANA NE CINTU ALEFWAYA KUCITA 
03-200924-181036_bem_798_elicit_19  LIMO LIMO KUTI UMUNTU ACETEKELAFYE UKUTI ICIBWESHA ICISUMA CIKAMONEKA MU MILIMO YAKWE 
03-200924-181036_bem_798_elicit_20  KABILI INSHITA SHIMO TULINGILE UKUCETEKELA UKUTI LESA ABASHININA UKUTI NATUYANA 
03-200924-181036_bem_798_elicit_21  NANGULA CINGABA CAKUTI ULI UMWAICE NGA FINTU DABIDI ALI ABANTU KUTI BATEMWA UKUMFWA KULI IWE UKUCILA KULI MUNONKO UMUKALAMBA 
03-200924-181036_bem_798_elicit_22  EICO BIKA AMANO KU MULIMO UNTU LESA AKUPEELE UKWABULO KUSAKAMANA ABANTU BACILANDELANDE
03-200924-181036_bem_798_elicit_23  DABIDI ASENDA ULUTAMPULO LWAKUCITA NOKUIPEELESHA
03-200924-181036_bem_798_elicit_24  ABANTU ABENGI BALATEMWA UKUKOKOLA MUKULANDA PAMO NO KUPEKANYA INSHILA YAKUCIMFISHAMO AMAFYA  ELYO BALEKAPOFYE 
03-200924-181036_bem_798_elicit_25  IFI KONAULA INSHITA NA MAKA 
03-200924-181036_bem_798_elicit_26  NGA CAKUTI TAUKWETE UMUTIMA WAKUBOMBA PA BWAFYA CISUMA UKWIKALA TONDOLO NO KUTALUKAKO 
03-200924-181036_bem_798_elicit_27  TULEKABILA UKUKWATA ABANTU ABENGI ABABA NGA DABIDI 
03-200924-181036_bem_798_elicit_28  TULINGILE UKUSUPILA ICILAMBU NGA FINTU DABIDI ALESUPILA  
03-200924-181036_bem_798_elicit_29  LESA ABA KALAMBULA WA BAMUFWAYAFWAYA ABA HEBERE 
03-200924-181036_bem_798_elicit_30  TE MULANDU NO MUSANGO WE LAMBU TULI NOKUPOKELELA ICIKANKALA CAKUTILA ICO CILAMBU CIKABA ICAYANA 
03-200924-181036_bem_798_elicit_31  LELO ICALELENGA DABIDI UKUPAMFIWA PAKUYA MU BULWI TE CILAMBU IYOO NI PAMULANDU WAKUTI ULYA MU PELISHITI ALEPONTELE MILALO YAKWA LESA WA MWEO 
03-200924-181036_bem_798_elicit_32  ALIFILILWE UKUTWALILILA UKUTAMBA PAMO NO KUMFWA IYI MIPONTO 
03-200924-181036_bem_798_elicit_33  EICO AFWAISHA UKUIPEELA KULI UBU BULWI
03-200924-181036_bem_798_elicit_34  PAMULANDU WAKUTI MUNO CALO CESU MWABA ABANTU IMYANDA IYINGI ABASHIBELENGA ICEBO CAKWA LESA CILAFWILISHA UMULWANI WESU CIWA 
03-200924-181036_bem_798_elicit_35  BUSHE ULECITAPO SHANI PA MINTAPENDWA YA MISEPELA IILEENDAUKA UKWABULA ICAKUCITA NELYO ABAKUBASAMBILISHA PAFYA BWIKASHI UKWABULA ICAKUMWENAKO NO BUYO 
03-200924-181036_bem_798_elicit_36  ALEITA ATI ISENI ILINTU ABENA KRISTU BA MULI CINO CALO BALELONDOLOLA PAMULANDU WAKUPOKELELWA KWABO KULI LESA 
03-200924-181036_bem_798_elicit_37  BUSHE UCITAPO SHANI
03-200924-181036_bem_798_elicit_38  DABIDI ALI NOBUTANTIKO BWA LUBULI ALECIMFYA INSHITA SHIMO CILASEKESHA PAKUMFWA KU MISEPELA IYASAMBILILA ICEBO CAKWA LESA 
03-200924-181036_bem_798_elicit_39  SHILALANDA NOBUTUTULUME PA NSHILA SHONSE ISHA KUCIMFISHAMO LELO TASHILAKWATAPO NE FIBALA IFYAKUFUMA NANGU IFILELANGISHA UKUTI NISHIKACIMFYA 
03-200924-181036_bem_798_elicit_40  NELYO DABIDI TALI MUSHILIKA UWAKANSHIWE ALIKWETE UBWISHIBILO PA BULWI
03-200924-181036_bem_798_elicit_41  KUMFWA BASHILIKA ABASAMBILILE FYA BULWI BALIFILILWE ICO AMATONTONKANYO YABO TAYALI PALI LESA
03-200924-181036_bem_798_elicit_42  CACINE UMUNTU UWASAMBILILA ICEBO CAKWA LESA MWI SUKULU KUTI AAFWILISHA MU MULIMO WAKWA LESA NGA CAKUTI AMATONTONKANYO YAKWE YALI PALI LESA 
03-200924-181036_bem_798_elicit_43  TULUMBANYE LESA PAMULANDU WAKUKWATA BASAMBILILA ICEBO MU MASUKULU 
03-200924-181036_bem_798_elicit_44  NATUBOMBELE PAMO NABO LELO TWISUULA ABASHASAMBILILA ICEBO CAKWA LESA MWISUKULU ABO ABACISHIBILA UKUPITILA MUKWENDA NA SHIKULU
03-200924-181036_bem_798_elicit_45  NALIMO INSHILA BABOMBELAMO KUTI SHABA NGE SHAKWA DABIDI 
03-200924-181036_bem_798_elicit_46  NALIMO IMIMONEKELE YABO KUTI YABA IYABIPA IYISHAYEMBA TWISUULA PANTU KUTI LIMBI EBASONTELWE NA LESA KUKUPOKOLOLA ABANTU
03-200924-181036_bem_798_elicit_47  ICINTU CIMBI CAKUTI BUSHE NGA CAKUTI DABIDI TATENDEKELE UKULWA KWAKWE ILINTU ALI EKA MUMPANGA NGA ALWILE SHANI NA GALYATI PA CINSO CA FIBUSA NA BALWANI BAKWE 
03-200924-181036_bem_798_elicit_48  KATULELUNDA KULI MOSES DABIDI YOHANE YESU PAULO NA BAMBIPO  NOKUBA ABANTU BAKWA LESA APO TATULATENDEKA UKUBOMBELA LESA MU CINTU BWINGI
03-200924-181036_bem_798_elicit_49  DABIDI AISHIBE INTULO YA MAKA YAKWE SHIKULU 
03-200924-181036_bem_798_elicit_50  IWE WAISA KULI INE NO LUPANGA NE FUMO NA KALIFUMO 
03-200924-181036_bem_798_elicit_51  LELO INE NAISA KULI IWE MWISHINA LYAKWA YEHOBA LESA WA MILALO 
03-200924-181036_bem_798_elicit_52  LESA WA MITANDE YAKWA ISRAEL UO WASEBANYA
